stop_id,Delay Count,Stop Name,Borough,GTFS Longitude,GTFS Latitude,branch
114,336,145 St,M,-73.95036,40.826551,['1 2 3']
230,335,Wall St,M,-74.0091,40.706821,['1 2 3']
502,333,Baychester Av,Bx,-73.838591,40.878663,['4 5 6']
211,333,Pelham Pkwy,Bx,-73.867615,40.857192,['1 2 3' '4 5 6']
205,330,233 St,Bx,-73.857473,40.893193,['1 2 3' '4 5 6']
618,330,Brook Av,Bx,-73.91924,40.807566,['4 5 6']
252,319,Saratoga Av,Bk,-73.916327,40.661453,['4 5 6' '1 2 3']
119,316,103 St,M,-73.968379,40.799446,['1 2 3']
121,314,86 St,M,-73.976218,40.788644,['1 2 3']
603,314,Middletown Rd,Bx,-73.836322,40.843863,['4 5 6']
122,314,79 St,M,-73.979917,40.783934,['1 2 3']
207,313,219 St,Bx,-73.862633,40.883895,['1 2 3' '4 5 6']
219,310,Prospect Av,Bx,-73.90177,40.819585,['1 2 3' '4 5 6']
232,309,Borough Hall,Bk,-73.989998,40.693219,['1 2 3']
117,304,116 St-Columbia University,M,-73.96411,40.807722,['1 2 3']
602,304,Buhre Av,Bx,-73.832569,40.84681,['4 5 6']
B20,303,20 Av,Bk,-73.998168,40.604556,['B/D/F/M']
B21,301,Bay Pkwy,Bk,-73.993728,40.601875,['B/D/F/M']
412,300,170 St,Bx,-73.917791,40.840075,['4 5 6']
609,298,St Lawrence Av,Bx,-73.867618,40.831509,['4 5 6']
253,296,Rockaway Av,Bk,-73.908946,40.662549,['1 2 3' '4 5 6']
210,295,Allerton Av,Bx,-73.867352,40.865462,['1 2 3' '4 5 6']
611,295,Elder Av,Bx,-73.879159,40.828584,['4 5 6']
228,294,Park Place,M,-74.008811,40.713051,['1 2 3']
617,292,Cypress Av,Bx,-73.914042,40.805368,['4 5 6']
249,287,Kingston Av,Bk,-73.942161,40.669399,['4 5 6' '1 2 3']
256,286,Van Siclen Av,Bk,-73.889395,40.665449,['1 2 3' '4 5 6']
B14,282,50 St,Bk,-73.994791,40.63626,['B/D/F/M']
504,281,Pelham Pkwy,Bx,-73.855359,40.858985,['4 5 6']
S01,278,Franklin Av,Bk,-73.955827,40.680596,['S']
615,278,E 149 St,Bx,-73.904098,40.812118,['4 5 6']
218,264,Intervale Av,Bx,-73.896736,40.822181,['4 5 6' '1 2 3']
118,252,Cathedral Pkwy (110 St),M,-73.966847,40.803967,['1 2 3']
635,247,14 St-Union Sq,M,-73.989951,40.734673,['4 5 6']
233,245,Hoyt St,Bk,-73.985065,40.690545,['1 2 3']
206,245,225 St,Bx,-73.860341,40.888022,['1 2 3' '4 5 6']
411,242,Mt Eden Av,Bx,-73.914685,40.844434,['4 5 6']
410,232,176 St,Bx,-73.911794,40.84848,['4 5 6']
610,232,Morrison Av-Soundview,Bx,-73.874516,40.829521,['4 5 6']
225,231,125 St,M,-73.945495,40.807754,['1 2 3']
606,230,Zerega Av,Bx,-73.847036,40.836488,['4 5 6']
254,225,Junius St,Bk,-73.902447,40.663515,['1 2 3' '4 5 6']
209,215,Burke Av,Bx,-73.867164,40.871356,['1 2 3' '4 5 6']
302,215,145 St,M,-73.936245,40.820421,['1 2 3']
226,181,116 St,M,-73.949625,40.802098,['1 2 3']
301,170,Harlem-148 St,M,-73.93647,40.82388,['1 2 3']
S09,153,Tottenville,SI,-74.251961,40.512764,[nan]
S03,108,Park Pl,Bk,-73.957624,40.674772,['S']
S04,95,Botanic Garden,Bk,-73.959245,40.670343,['S']
